Estado,Media_Homicidios,Desvio_Padrao,Taxa_Mudanca_Anual_%,Tendencia_Significativa,R_Quadrado,Forca_Sazonalidade
SP,0.6715577411167513,6.784241270517272,-7.414017908471255,Sim,0.6998293636744577,0.12014729574117118
RJ,3.655072463768116,11.121153663679596,-5.587876728685722,Sim,0.5765567732900115,0.30447864071082525
