ano,mes,taxa_homicidio_doloso,taxa_latrocinio,taxa_lesao_corporal_morte,taxa_crimes_violentos_letais_intencionais,taxa_homicidio_intervencao_policial,taxa_letalidade_violenta,taxa_homicidio_culposo,taxa_roubo_transeunte,taxa_roubo_celular,taxa_roubo_corporal_coletivo,taxa_roubo_rua,taxa_roubo_veiculo,taxa_roubo_carga,taxa_roubo_comercio,taxa_roubo_residencia,taxa_roubo_banco,taxa_roubo_caixa_eletronico,taxa_roubo_conducao_saque,taxa_roubo_apos_saque,taxa_roubo_bicicleta,taxa_outros_roubos,taxa_total_roubos,taxa_furto_veiculos,taxa_furto_transeunte,taxa_furto_coletivo,taxa_furto_celular,taxa_furto_bicicleta,taxa_outros_furtos,taxa_total_furtos,taxa_policial_militar_morto_servico,taxa_policial_civil_morto_servico,taxa_registro_ocorrencia,data_referencia,UF
2015,7,185,5,1,192,37,228,88,2927,582,364,3873,367,327,36,58,1,2,5,59,15,705,6869,834,1726,515,899,133,4522,8629,414,0,38148,"01/07/2015","RJ"
2015,3,231,9,1,241,33,274,87,372,547,355,4622,4388,332,369,64,1,2,8,1,0,773,8002,921,2039,598,929,0,5031,9517,621,0,41928,"01/03/2015","RJ"
2015,2,197,6,5,208,5,259,81,3888,549,302,4739,3839,307,34,47,2,2,6,82,0,759,7796,808,3013,47,1123,0,5066,10479,207,0,39398,"01/02/2015","RJ"
2015,10,229,6,1,237,31,268,91,3063,647,434,4144,3747,399,31,66,1,2,2,64,11,725,7233,838,165,541,1049,121,4367,8565,0,0,38638,"01/10/2015","RJ"
2016,1,245,11,1,257,32,289,105,4345,809,491,5644,4991,441,372,74,1,1,4,48,14,823,9445,913,2117,577,1049,89,4845,9589,217,0,40969,"01/01/2016","RJ"
2016,2,243,13,4,26,3,29,84,467,829,49,5989,4531,374,349,69,2,1,2,39,8,1057,9731,877,2438,499,1087,101,4973,9975,0,0,41436,"01/02/2016","RJ"
2016,6,224,15,3,242,45,287,73,4811,972,67,6453,486,42,311,72,2,2,3,26,11,999,1029,874,133,5,781,96,4076,7658,217,0,38685,"01/06/2016","RJ"
2016,3,268,11,1,28,37,317,67,4489,872,547,5908,5016,383,361,58,2,6,7,51,1,922,9751,848,1485,553,912,104,4631,8533,868,0,41063,"01/03/2016","RJ"
2016,8,233,8,2,243,44,288,96,4826,1054,705,6585,4444,456,386,62,1,1,4,4,8,975,10345,746,1508,574,951,97,5709,9584,1519,0,41788,"01/08/2016","RJ"
2017,2,301,16,2,319,51,37,102,1355,33,292,1977,6195,271,166,29,0,2,2,7,2,797,5822,785,397,1,316,23,1851,3473,215,0,18719,"01/02/2017","RJ"
2017,1,287,15,1,303,59,362,93,3078,682,496,4256,6088,416,2,49,2,2,1,24,5,1052,8527,814,865,281,525,77,348,604,858,0,30814,"01/01/2017","RJ"
2017,11,27,9,4,283,74,357,92,4053,1205,752,6009,5966,556,342,66,2,3,4,4,4,16,11113,771,1056,404,867,95,4005,7197,644,0,37917,"01/11/2017","RJ"
2017,7,224,14,1,238,38,276,111,5124,1476,928,7529,7089,543,38,63,2,2,5,35,11,1537,13068,721,977,431,848,1,4384,7462,1073,0,40635,"01/07/2017","RJ"
2017,12,263,8,2,274,5,324,114,3783,1169,681,5633,6371,682,296,65,2,4,2,45,6,15,10893,718,1068,388,734,95,4074,7076,858,0,37104,"01/12/2017","RJ"
2017,10,289,1,4,303,58,361,108,4427,1333,709,6469,6075,535,371,62,1,2,3,37,8,1527,11551,785,938,446,913,87,4581,775,215,0,40408,"01/10/2017","RJ"
2018,4,279,8,1,289,59,348,103,4455,1232,793,648,6554,523,39,61,1,3,5,39,8,1476,11717,789,936,439,672,87,3825,6749,222,0,37846,"01/04/2018","RJ"
2018,5,248,8,1,256,85,341,92,4702,1343,878,6923,6155,44,369,61,1,4,4,55,8,1629,1206,797,942,458,687,106,4101,7091,667,0,39167,"01/05/2018","RJ"
2018,8,21,8,3,221,103,323,91,4229,1264,815,6309,5457,392,312,63,1,1,2,36,7,1526,10927,814,905,427,758,94,4045,7043,445,0,38324,"01/08/2018","RJ"
2018,2,26,12,3,275,6,335,76,4281,1269,596,6146,6775,437,325,67,1,3,1,38,2,1753,11595,683,1371,323,93,68,3941,7316,445,0,36158,"01/02/2018","RJ"
2018,9,222,8,4,235,63,297,91,3933,127,742,5946,5645,336,27,6,1,1,5,93,9,1388,10468,78,826,381,683,94,3892,6656,89,0,36313,"01/09/2018","RJ"
2018,3,299,12,4,314,64,378,101,449,1283,814,6587,7558,54,375,68,1,3,5,31,5,1604,12367,734,954,437,719,88,3854,6787,89,0,38815,"01/03/2018","RJ"
2019,10,186,2,2,19,84,275,108,3644,1276,643,5563,4086,337,211,55,0,4,5,5,1,1006,8992,693,891,405,1094,138,4386,7608,678,0,38088,"01/10/2019","RJ"
2019,2,188,5,3,195,84,279,91,4065,1226,787,6078,4896,375,239,67,2,1,8,35,8,1233,1011,78,1097,398,937,92,4248,7551,904,0,37725,"01/02/2019","RJ"
2019,1,224,9,1,234,92,327,91,4331,1402,772,6505,5224,43,25,67,1,4,3,51,11,1374,10896,822,1196,418,919,98,4643,8095,452,0,40441,"01/01/2019","RJ"
2019,6,192,5,2,199,89,287,88,3522,1267,746,5535,4249,347,221,49,1,2,11,48,5,115,9175,725,836,365,779,11,4186,7002,678,0,35467,"01/06/2019","RJ"
2019,7,181,8,3,192,113,305,87,3844,1289,7,5833,4348,4,223,42,1,0,7,56,9,1224,9646,784,909,432,806,133,4421,7485,0,0,38122,"01/07/2019","RJ"
2019,5,2,9,1,21,1,31,84,4251,1407,942,66,499,412,298,54,1,2,5,5,4,1285,10827,858,855,415,825,128,4471,7551,0,0,39621,"01/05/2019","RJ"
2019,9,179,4,3,187,89,276,91,3353,1196,576,5125,3535,27,21,46,0,1,5,46,12,836,8064,691,776,346,841,122,3957,6734,904,0,34628,"01/09/2019","RJ"
2019,8,185,3,1,189,1,289,94,3735,1299,691,5726,4314,34,25,6,1,1,5,57,1,104,9329,788,908,39,888,107,4215,7296,452,0,37795,"01/08/2019","RJ"
2019,4,209,6,1,216,72,288,1,4079,1406,919,6404,515,387,291,72,1,2,6,48,13,1302,10705,722,881,352,765,122,4428,727,226,0,39328,"01/04/2019","RJ"
2019,11,185,8,2,195,79,274,11,3146,1171,638,4954,401,301,206,36,0,2,5,61,8,993,8287,671,883,364,857,135,4034,6945,0,0,35206,"01/11/2019","RJ"
2019,3,2,6,3,209,77,286,93,4489,1524,889,6902,519,37,288,55,1,2,3,51,9,1478,11351,792,16,368,1096,117,4962,8935,452,0,41846,"01/03/2019","RJ"
2020,10,16,3,1,164,84,247,101,229,736,443,3469,2513,206,167,28,0,0,3,3,9,715,5722,61,469,249,58,91,3383,538,453,0,29277,"01/10/2020","RJ"
2020,4,18,3,3,186,103,289,77,1461,567,282,231,2463,194,97,32,1,2,1,31,7,811,4552,532,163,61,176,61,2307,33,226,0,18923,"01/04/2020","RJ"
2020,7,148,4,2,154,3,184,95,2216,774,487,3477,2422,313,131,44,0,3,9,41,7,784,5859,611,335,148,363,59,337,4886,226,0,29507,"01/07/2020","RJ"
2020,6,149,1,1,152,2,171,82,1641,548,334,2523,2325,233,115,22,0,3,5,28,9,622,4563,55,191,99,214,46,2764,3863,679,0,24146,"01/06/2020","RJ"
2020,2,188,6,1,195,95,29,88,3286,1192,749,5227,391,241,221,35,1,4,2,47,7,898,8371,682,1231,328,131,133,423,7915,226,0,36279,"01/02/2020","RJ"
2020,3,216,5,1,222,66,288,75,2539,889,568,3995,3269,211,178,41,0,4,3,54,1,992,6901,643,698,227,657,104,3896,6225,453,0,28741,"01/03/2020","RJ"
2020,1,207,5,2,214,9,304,84,3577,1264,682,5523,4348,333,239,43,1,3,3,57,17,107,9163,788,1223,336,1007,161,4945,846,453,0,37953,"01/01/2020","RJ"
2021,6,135,1,4,141,56,197,83,1921,718,516,3155,2468,224,159,47,1,5,2,42,9,737,5479,651,428,264,612,89,3307,5351,0,0,28927,"01/06/2021","RJ"
2021,7,145,3,1,149,58,207,87,2107,767,49,3364,2752,208,152,43,1,4,2,26,12,709,575,706,505,268,658,88,3141,5365,0,0,29707,"01/07/2021","RJ"
2021,11,134,9,2,144,47,191,9,1814,655,32,2789,2079,207,134,5,1,5,4,22,9,579,4725,762,586,296,963,113,3411,6131,188,0,30219,"01/11/2021","RJ"
2021,1,212,7,2,221,85,307,101,2311,814,591,3716,3065,21,171,53,0,6,3,42,24,815,6385,683,491,205,635,92,3294,54,0,0,3023,"01/01/2021","RJ"
2021,12,138,3,1,142,33,175,96,1687,599,367,2653,2199,237,135,46,1,5,2,29,7,579,4678,751,674,326,1123,129,4041,7044,375,0,34501,"01/12/2021","RJ"
2021,9,153,7,1,161,44,205,85,1988,672,385,3046,258,224,135,44,0,5,2,25,11,657,5293,677,474,252,683,91,3177,5354,0,0,29383,"01/09/2021","RJ"
2021,8,148,7,1,156,65,221,84,1987,677,445,3109,2742,226,161,47,1,7,3,36,8,679,5491,717,5,285,736,87,3165,5489,188,0,30123,"01/08/2021","RJ"
2021,4,176,4,3,183,83,266,9,1909,645,559,3114,2749,228,175,6,0,3,2,31,9,756,5595,66,353,227,46,87,3017,4804,0,0,27637,"01/04/2021","RJ"
2021,2,142,7,2,151,85,237,91,2289,772,562,3623,285,203,188,46,0,6,4,31,15,775,6145,669,425,211,591,81,3252,5229,375,0,28318,"01/02/2021","RJ"
2022,11,15,5,1,157,66,222,95,1776,746,282,2804,3192,259,115,4,0,4,4,2,7,66,5375,844,705,368,1428,126,4077,7547,689,0,35874,"01/11/2022","RJ"
2022,2,146,2,1,15,58,208,94,1782,651,323,2756,2266,183,132,29,1,5,5,29,5,569,4729,746,714,348,1244,137,3818,7007,0,0,34425,"01/02/2022","RJ"
2022,5,122,2,1,125,81,205,9,1922,709,337,2968,2647,166,112,37,0,4,3,21,1,584,5101,799,702,45,1332,159,4541,7983,23,0,37846,"01/05/2022","RJ"
2022,8,124,3,2,13,81,21,104,1947,841,303,309,259,208,124,44,0,3,7,21,8,613,5297,802,715,442,1388,145,4391,7883,23,0,39518,"01/08/2022","RJ"
2022,10,166,6,2,175,58,233,94,1767,842,318,2928,3087,229,108,36,0,2,1,2,9,647,5389,811,698,384,156,129,4224,7805,919,0,37891,"01/10/2022","RJ"
2022,1,146,3,3,152,57,209,73,192,697,318,2935,239,207,119,34,1,5,2,27,15,57,4983,757,659,317,1123,138,3881,6876,23,0,34756,"01/01/2022","RJ"
2022,9,153,1,3,157,5,207,95,1833,84,384,3056,2785,2,12,43,1,3,2,28,6,624,5352,804,72,413,1996,139,436,8432,0,0,37925,"01/09/2022","RJ"
2022,7,171,3,1,175,81,256,105,1943,853,312,3108,2555,157,107,36,1,2,3,26,6,601,5207,804,73,383,144,174,4368,7899,459,0,37542,"01/07/2022","RJ"
2022,4,155,1,1,158,51,209,83,1962,756,314,3032,2509,185,113,38,0,2,2,22,6,584,5114,829,91,357,1531,166,4275,8068,23,0,3654,"01/04/2022","RJ"
2022,12,142,2,1,145,56,201,92,1744,787,298,2828,2817,282,127,52,0,2,4,3,6,693,5314,814,652,384,1461,14,4349,7799,459,0,3768,"01/12/2022","RJ"
2023,10,145,2,1,147,25,173,96,1427,822,257,2507,2374,116,86,48,1,3,2,13,17,558,4465,803,681,397,1689,205,4366,8141,229,0,39561,"01/10/2023","RJ"
2023,1,149,4,2,156,6,215,91,1677,706,288,2671,2274,179,1,42,0,4,3,28,9,543,4621,809,87,361,1577,149,4452,8219,0,0,38981,"01/01/2023","RJ"
2023,2,175,2,2,18,56,236,79,157,633,216,2419,1975,176,79,36,0,2,3,16,6,452,4095,745,115,292,1996,149,3943,8276,457,0,36612,"01/02/2023","RJ"
2023,6,144,1,1,147,52,199,95,1365,73,293,2388,2243,136,94,43,0,2,3,16,1,54,4274,767,629,385,1329,144,4103,7357,457,0,36868,"01/06/2023","RJ"
2023,3,197,4,3,204,7,274,98,1665,719,28,2664,2884,279,91,56,0,3,2,25,7,562,5015,947,771,374,1428,189,4425,8133,457,0,42654,"01/03/2023","RJ"
2023,11,161,3,2,167,27,194,102,1413,853,203,2469,2711,128,78,46,0,1,3,22,1,545,4577,785,853,39,1996,177,4609,881,229,0,41573,"01/11/2023","RJ"
2023,12,161,2,2,165,31,196,117,131,782,24,2332,2041,14,85,46,1,1,2,17,9,473,4067,775,752,381,1516,166,4588,8179,0,0,40701,"01/12/2023","RJ"
2023,4,162,3,3,168,52,22,86,143,647,222,2298,2789,228,94,44,0,2,2,22,7,531,4517,831,606,353,1269,164,3998,7221,457,0,36908,"01/04/2023","RJ"
2023,9,165,3,3,172,21,193,93,1385,747,283,2416,21,102,78,4,1,1,2,15,9,476,4122,795,714,416,1631,15,4215,7921,229,0,38259,"01/09/2023","RJ"
2023,5,171,7,1,179,38,217,107,1483,761,272,2515,2957,206,11,52,0,5,1,16,7,625,4907,835,654,45,1405,201,4404,7949,0,0,40723,"01/05/2023","RJ"
2023,7,122,3,2,127,47,174,105,1361,706,264,2331,144,75,83,37,0,1,2,17,9,493,3719,69,648,381,1419,165,4215,7518,0,0,36561,"01/07/2023","RJ"
2023,8,141,2,1,145,21,166,88,1516,811,336,2663,176,89,75,39,0,3,3,22,1,48,4205,755,726,442,168,167,4387,8157,0,0,39512,"01/08/2023","RJ"
2024,6,13,3,6,139,41,18,129,1367,1041,309,2717,269,13,75,36,0,1,3,12,16,513,4792,791,575,311,1511,189,471,8087,461,0,43333,"01/06/2024","RJ"
2024,5,149,5,3,157,48,205,125,1451,1048,3,2799,2973,129,7,36,0,1,2,11,19,591,5078,881,75,355,1996,201,4961,9144,692,0,45742,"01/05/2024","RJ"
2024,7,12,4,2,126,45,172,101,1471,1065,303,2839,27,136,6,24,0,3,2,16,16,427,4819,783,605,339,1538,176,4673,8114,692,0,43405,"01/07/2024","RJ"
2024,1,146,5,1,152,34,186,84,152,864,262,2645,2273,118,83,33,1,1,1,12,7,539,451,827,877,368,1813,144,4921,895,0,0,4411,"01/01/2024","RJ"
2024,4,131,3,2,136,32,168,115,1501,978,243,2723,2502,113,83,42,0,1,3,13,18,563,475,872,691,361,1668,217,5007,8815,231,0,44769,"01/04/2024","RJ"
2024,8,13,3,2,136,4,176,103,1488,1041,421,295,3388,188,58,32,1,2,1,1,25,506,5404,813,571,385,1611,186,4977,8543,0,0,4529,"01/08/2024","RJ"
2024,12,175,6,7,188,23,211,116,1474,1091,276,2842,3445,28,78,45,0,1,3,14,18,523,5481,783,65,344,1985,218,4632,8611,0,0,44332,"01/12/2024","RJ"
2024,2,137,5,3,145,32,176,102,1535,966,213,2714,2476,92,7,39,1,3,1,1,13,52,4632,834,11,326,2318,159,463,9367,0,0,42643,"01/02/2024","RJ"
2024,10,132,7,3,143,32,174,109,1599,1115,374,3088,4047,218,83,37,0,3,3,12,22,587,6013,852,656,392,1645,185,4734,8464,0,0,46022,"01/10/2024","RJ"
2014,3,31,6,3,32,28,348,13,4269,338,389,4996,476,244,47,76,1,2,1,57,0,694,8345,998,2778,593,96,0,5628,10957,1055,0,44377,"01/03/2014","RJ"
2015,4,205,13,2,22,36,256,86,3359,538,385,4282,4112,291,318,53,3,3,7,75,0,69,7349,799,181,562,837,0,455,8558,414,0,38164,"01/04/2015","RJ"
2015,1,266,7,1,273,39,313,101,4197,554,425,5177,4437,445,403,64,1,2,2,67,0,802,8704,965,2057,504,879,0,5502,9908,621,0,43389,"01/01/2015","RJ"
2015,9,212,4,0,216,35,251,85,2874,721,479,4074,3634,324,339,55,1,1,5,75,13,695,704,857,1894,537,1251,113,4694,9346,414,0,38231,"01/09/2015","RJ"
2016,7,221,9,5,235,44,28,87,4709,101,688,6407,4548,421,379,6,1,5,3,41,1,925,10118,781,1273,487,824,89,4529,7983,651,0,3985,"01/07/2016","RJ"
2016,12,278,17,4,299,65,364,11,4578,1077,837,6492,607,797,331,64,1,3,3,43,8,1239,11492,818,1199,455,746,1,4792,8109,868,0,4036,"01/12/2016","RJ"
2016,11,277,11,5,292,56,349,85,5207,1128,967,7302,5971,661,398,82,1,5,5,26,5,1183,12135,837,1166,462,799,88,4445,7797,1519,0,40042,"01/11/2016","RJ"
2016,9,255,11,2,268,53,321,92,4835,1084,787,6706,5015,536,401,66,1,2,1,4,13,1017,10849,769,1248,539,933,116,4723,8329,217,0,40525,"01/09/2016","RJ"
2017,5,254,12,1,267,58,325,113,5788,1525,967,8281,6605,742,4,74,1,7,4,32,8,1589,1389,779,1117,487,844,145,5004,8376,215,0,43038,"01/05/2017","RJ"
2018,12,201,8,3,212,51,263,111,3754,1246,688,5688,5274,458,252,63,1,2,9,42,8,126,100,786,103,36,8,98,4007,7082,222,0,36064,"01/12/2018","RJ"
2018,11,22,7,2,229,79,308,89,4081,1364,805,625,5649,422,256,49,3,2,3,46,9,1374,10784,771,907,429,789,102,4049,7047,222,0,36802,"01/11/2018","RJ"
2019,12,191,3,5,198,72,27,109,2933,1057,595,4585,4187,352,213,51,4,1,6,67,1,1024,8114,711,904,337,82,129,416,7061,226,0,34557,"01/12/2019","RJ"
2020,9,138,4,2,144,31,175,99,2056,76,335,3152,2312,186,169,35,0,2,1,33,16,661,5259,614,402,218,474,76,3394,5179,0,0,28087,"01/09/2020","RJ"
2021,5,154,4,2,16,65,224,95,2035,716,496,3247,2608,226,179,41,1,4,6,39,8,743,5653,686,433,235,532,91,3179,5156,0,0,28878,"01/05/2021","RJ"
2021,3,181,5,4,19,91,281,89,2261,788,605,3654,3096,229,201,53,0,6,5,44,1,925,6493,659,451,225,559,106,3474,5475,375,0,31387,"01/03/2021","RJ"
2024,3,16,5,2,167,24,191,9,1464,96,222,2647,29,127,78,36,0,2,1,14,8,603,489,891,683,385,1546,163,473,8397,231,0,43698,"01/03/2024","RJ"
2017,3,298,17,4,319,74,392,105,366,116,782,5603,7215,468,316,59,2,4,2,19,16,2193,11679,856,92,283,806,95,52,816,215,0,36194,"01/03/2017","RJ"
2017,4,261,13,1,275,48,323,11,5116,1509,953,7578,7043,618,39,76,1,4,4,36,8,2086,13731,772,943,343,767,122,4665,7612,1502,0,407,"01/04/2017","RJ"
2024,11,145,5,3,153,26,18,93,1425,1057,268,2751,4006,251,75,41,0,1,1,14,14,497,5589,781,582,36,1675,203,4445,8046,0,0,42948,"01/11/2024","RJ"
2016,10,279,18,4,301,52,354,103,5377,1169,916,7462,6085,567,387,66,2,2,5,36,11,1094,12142,821,1236,504,854,11,4703,8227,434,0,42188,"01/10/2016","RJ"
2015,6,164,1,1,175,27,202,85,2672,542,374,3588,3423,342,281,58,2,1,3,64,2,751,6455,806,1798,585,915,3,4519,8625,207,976,36485,"01/06/2015","RJ"
2016,5,222,1,2,234,51,285,87,448,871,617,5967,4795,442,36,55,0,1,2,43,9,104,9879,927,1359,502,795,119,4429,8131,1085,1002,39271,"01/05/2016","RJ"
2017,6,233,11,1,245,58,303,103,5106,1398,825,7329,6528,588,37,77,1,4,2,4,8,1522,12665,828,99,419,859,9,4405,7591,215,1001,40292,"01/06/2017","RJ"
2017,9,273,7,1,281,63,344,105,4575,1319,758,6652,6154,403,319,65,0,2,2,49,8,1522,11592,763,1116,466,1046,109,4644,8144,215,2002,40135,"01/09/2017","RJ"
2017,8,237,1,2,249,42,291,106,5261,1442,972,7675,659,503,387,66,1,1,4,47,2,1574,13014,787,1047,452,8,109,4636,783,429,1001,42004,"01/08/2017","RJ"
2018,1,276,14,4,293,93,386,97,4611,1207,632,6449,7483,577,352,64,2,6,2,4,1,1733,12355,746,1336,398,841,82,438,7784,1112,1058,39956,"01/01/2018","RJ"
2018,6,219,6,4,229,91,319,114,4517,1312,786,6616,5627,441,307,65,1,4,2,47,9,155,11385,746,857,403,718,91,3738,6553,222,1058,36291,"01/06/2018","RJ"
2018,10,223,6,1,23,74,304,89,4283,1441,838,6562,5894,379,264,55,1,5,5,48,1,1343,11141,831,929,428,796,12,4094,7198,222,1058,38164,"01/10/2018","RJ"
2020,8,15,7,1,158,29,188,93,2005,721,38,3106,2383,239,14,24,1,3,2,43,9,686,5285,638,404,198,43,74,3315,5059,0,2234,29005,"01/08/2020","RJ"
2020,5,157,3,0,161,75,236,75,1413,543,242,2198,2116,262,97,27,1,5,1,25,3,683,4216,521,147,62,205,48,2459,3443,0,1117,20175,"01/05/2020","RJ"
2020,12,163,5,2,17,48,218,111,2044,734,411,3189,3034,265,187,43,0,2,3,39,14,79,5861,641,466,184,588,91,318,5148,226,1117,27612,"01/12/2020","RJ"
2021,10,155,6,2,164,69,233,88,179,701,365,2857,2434,185,119,53,0,3,2,29,5,632,4968,692,432,209,704,93,3107,5237,188,1156,28242,"01/10/2021","RJ"
2022,3,153,3,1,157,8,237,92,2029,8,342,3172,2752,195,137,43,0,3,2,22,9,626,5447,905,85,362,1538,19,4745,8589,23,1197,39874,"01/03/2022","RJ"
2022,6,131,5,1,136,45,182,73,1852,796,4,3048,2385,162,133,39,2,3,3,25,9,555,5058,789,652,425,1231,128,4149,7374,23,1197,35409,"01/06/2022","RJ"
2015,5,21,5,1,216,27,243,96,3275,554,389,4218,3734,338,317,5,2,1,3,89,0,735,7236,866,1969,575,868,0,4692,8971,828,976,38844,"01/05/2015","RJ"
2016,4,286,9,1,296,47,342,84,4077,876,539,5493,4808,438,346,64,1,1,5,34,8,984,9336,865,1248,511,837,103,4279,7844,651,1002,38448,"01/04/2016","RJ"
2018,7,239,5,3,248,76,323,89,4364,128,765,6408,4922,426,293,55,1,1,3,34,7,1353,1063,754,963,378,796,8,3835,6806,667,1058,36532,"01/07/2018","RJ"
2020,11,187,5,1,193,47,24,106,2171,751,408,3329,2751,191,157,41,1,1,4,37,7,747,5716,607,483,228,587,85,3116,5106,226,1117,27656,"01/11/2020","RJ"
2024,9,13,5,4,139,25,164,116,1469,1101,418,2988,369,195,79,24,0,1,3,16,19,486,5592,865,569,366,2212,186,4552,8751,231,1211,44618,"01/09/2024","RJ"
