id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3542701,SP,0.08,3.6076,0.12,0.23,0.29,0.0294,-0.0017,4.1,Quadra,0,5,0.0004,False
3542305,SP,0.02,6.8697,0.02,0.13,0.12,0.0285,0.01,2.08,Presidente Epitácio,0,6,0.0001,False
3542107,SP,0.06,4.3985,0.6,0.5,0.74,0.1248,-0.0028,3.0,Presidente Alves,0,5,0.0003,False
3542404,SP,0.12,3.0043,0.05,0.52,0.23,0.0083,0.0011,7.79,Presidente Prudente,0,5,0.0006,False
3542503,SP,0.02,6.2578,0.02,0.07,0.07,0.0208,0.0017,1.27,Presidente Venceslau,0,5,0.0001,False
3542206,SP,0.16,2.5178,0.09,0.84,0.42,0.0113,-0.0005,13.47,Presidente Bernardes,0,3,0.0009,False
3542008,SP,0.0,15.4882,0.02,0.08,0.05,0.0187,-0.0009,1.29,Pratânia,0,4,0.0001,False
3541703,SP,0.06,4.3208,0.03,0.18,0.16,0.0183,0.0012,3.25,Pracinha,0,5,0.0003,False
3541604,SP,0.2,2.2961,0.38,2.42,1.2,0.0184,-0.0045,31.18,Potim,0,3,0.0016,False
3541653,SP,0.0,15.4882,0.11,0.09,0.16,0.0727,-0.0105,1.25,Potirendaba,0,4,0.0001,False
3541901,SP,0.06,4.1478,0.12,0.3,0.61,0.0704,0.0046,4.4,Praia Grande,0,5,0.0004,False
3541505,SP,0.23,2.0818,0.04,0.64,0.33,0.0037,-0.002,15.34,Porto Ferreira,0,3,0.0012,False
3541802,SP,0.02,6.2578,0.01,0.06,0.04,0.0064,0.0102,1.13,Pradópolis,0,6,0.0001,False
3541406,SP,1.37,0.9531,0.82,13.78,5.3,0.0161,-0.0032,139.52,Porto Feliz,0,3,0.0088,True
3541307,SP,0.25,2.0801,0.13,1.24,0.55,0.0061,-0.0048,28.67,Porangaba,0,3,0.0017,False
3541059,SP,0.03,5.7812,0.08,0.16,0.16,0.0749,0.001,1.0,Pontalinda,0,5,0.0001,False
3541208,SP,0.04,5.6323,0.02,0.14,0.07,0.0064,-0.0096,3.0,Populina,0,5,0.0002,False
3541000,SP,3.34,0.9447,49.35,71.89,115.73,0.2336,-0.0059,260.86,Pontal,0,3,0.0233,True
3541109,SP,0.01,8.9061,0.02,0.05,0.05,0.0225,0.0172,0.86,Pontes Gestal,0,6,0.0001,False
3540903,SP,0.17,2.4952,0.26,0.8,0.63,0.0284,0.0014,9.25,Pongaí,0,3,0.0008,False
3540804,SP,0.08,3.5192,0.03,0.72,0.31,0.0216,0.0011,6.26,Poloni,0,5,0.0004,False
3540853,SP,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.33,Pompéia,0,3,0.0,False
3540705,SP,0.4,1.6147,2.07,5.08,3.97,0.0643,-0.0039,31.02,Poá,0,3,0.0024,False
3540754,SP,0.39,1.8053,0.24,0.37,1.23,0.0864,0.004,5.43,Outros,0,3,0.0014,False
3540507,SP,0.02,7.6967,0.15,0.22,0.3,0.0556,0.0071,2.94,Planalto,0,6,0.0002,False
3540606,SP,0.28,1.9375,2.85,4.4,4.43,0.099,-0.0011,23.12,Platina,0,3,0.0018,False
3540408,SP,0.04,5.0767,0.0,0.09,0.05,0.0072,0.0008,1.0,Pitangueiras,0,5,0.0001,False
3540200,SP,0.4,1.63,0.93,2.3,2.52,0.0907,-0.0052,12.95,Pirassununga,0,3,0.0017,False
3540309,SP,0.02,7.6967,0.0,0.03,0.03,0.01,-0.0067,0.96,Piratininga,0,6,0.0001,False
3540002,SP,0.04,5.6323,0.02,0.37,0.13,0.0075,0.0059,7.02,Pirapora do Bom Jesus,0,5,0.0003,False
